省编码	省名称	市编码	市名称	区县编码	区县名称	百姓省	市代码	百姓市	区县代码	百姓区县
140000	山西省	140700	晋中市	140726	太谷县	山西	jinzhong	晋中	m6620	太谷
140000	山西省	140700	晋中市	140727	祁县	山西	jinzhong	晋中	m6619	祁县
140000	山西省	140700	晋中市	140728	平遥县	山西	jinzhong	晋中	m6618	平遥
140000	山西省	140700	晋中市	140729	灵石县	山西	jinzhong	晋中	m6617	灵石
140000	山西省	140700	晋中市	140781	介休市	山西	jinzhong	晋中	m6616	介休
140000	山西省	140800	运城市	140801	市辖区					
140000	山西省	140800	运城市	140802	盐湖区	山西	yuncheng	运城	m6566	盐湖
140000	山西省	140800	运城市	140821	临猗县	山西	yuncheng	运城	m6565	临猗
140000	山西省	140800	运城市	140822	万荣县	山西	yuncheng	运城	m6564	万荣
140000	山西省	140800	运城市	140823	闻喜县	山西	yuncheng	运城	m6563	闻喜
140000	山西省	140800	运城市	140824	稷山县	山西	yuncheng	运城	m6562	稷山
140000	山西省	140800	运城市	140825	新绛县	山西	yuncheng	运城	m6560	绛县
140000	山西省	140800	运城市	140826	绛县	山西	yuncheng	运城	m6560	绛县
140000	山西省	140800	运城市	140827	垣曲县	山西	yuncheng	运城	m6559	垣曲
140000	山西省	140800	运城市	140828	夏县	山西	yuncheng	运城	m6558	夏县
140000	山西省	140800	运城市	140829	平陆县	山西	yuncheng	运城	m6557	平陆
140000	山西省	140800	运城市	140881	永济市	山西	yuncheng	运城	m6555	永济
140000	山西省	140800	运城市	140882	河津市	山西	yuncheng	运城	m6554	河津
140000	山西省	140900	忻州市	140901	市辖区					
140000	山西省	140900	忻州市	140902	忻府区	山西	xinzhou	忻州	m6666	忻府
140000	山西省	140900	忻州市	140921	定襄县	山西	xinzhou	忻州	m6665	定襄
140000	山西省	140900	忻州市	140922	五台县	山西	xinzhou	忻州	m6664	五台
140000	山西省	140900	忻州市	140923	代县	山西	xinzhou	忻州	m6663	代县
140000	山西省	140900	忻州市	140924	繁峙县	山西	xinzhou	忻州	m6662	繁峙
140000	山西省	140900	忻州市	140925	宁武县	山西	xinzhou	忻州	m6661	宁武
140000	山西省	140900	忻州市	140926	静乐县	山西	xinzhou	忻州	m6660	静乐
140000	山西省	140900	忻州市	140927	神池县	山西	xinzhou	忻州	m6659	神池
140000	山西省	140900	忻州市	140928	五寨县	山西	xinzhou	忻州	m6658	五寨
140000	山西省	140900	忻州市	140929	岢岚县	山西	xinzhou	忻州	m6657	岢岚
140000	山西省	140900	忻州市	140931	保德县	山西	xinzhou	忻州	m6655	保德
140000	山西省	140900	忻州市	140932	偏关县	山西	xinzhou	忻州	m6654	偏关
140000	山西省	140900	忻州市	140981	原平市	山西	xinzhou	忻州	m6653	原平
140000	山西省	141000	临汾市	141001	市辖区					
140000	山西省	141000	临汾市	141002	尧都区	山西	linfen	临汾	m6596	尧都
140000	山西省	141000	临汾市	141021	曲沃县	山西	linfen	临汾	m6595	曲沃
140000	山西省	141000	临汾市	141022	翼城县	山西	linfen	临汾	m6594	翼城
140000	山西省	141000	临汾市	141023	襄汾县	山西	linfen	临汾	m6593	襄汾
140000	山西省	141000	临汾市	141024	洪洞县	山西	linfen	临汾	m6592	洪洞
140000	山西省	141000	临汾市	141025	古县	山西	linfen	临汾	m6591	古县
140000	山西省	141000	临汾市	141026	安泽县	山西	linfen	临汾	m6590	安泽
140000	山西省	141000	临汾市	141027	浮山县	山西	linfen	临汾	m6589	浮山
140000	山西省	141000	临汾市	141028	吉县	山西	linfen	临汾	m6588	吉县
140000	山西省	141000	临汾市	141029	乡宁县	山西	linfen	临汾	m6587	乡宁
140000	山西省	141000	临汾市	141031	隰县	山西	linfen	临汾	m6585	隰县
140000	山西省	141000	临汾市	141032	永和县	山西	linfen	临汾	m6584	永和
140000	山西省	141000	临汾市	141033	蒲县	山西	linfen	临汾	m6583	蒲县
140000	山西省	141000	临汾市	141034	汾西县	山西	linfen	临汾	m6582	汾西
140000	山西省	141000	临汾市	141081	侯马市	山西	linfen	临汾	m6581	侯马
140000	山西省	141000	临汾市	141082	霍州市	山西	linfen	临汾	m6580	霍州
140000	山西省	141100	吕梁市	141101	市辖区					
140000	山西省	141100	吕梁市	141102	离石区	山西	lvliang	吕梁	m6579	离石
140000	山西省	141100	吕梁市	141121	文水县	山西	lvliang	吕梁	m6578	文水
140000	山西省	141100	吕梁市	141122	交城县	山西	lvliang	吕梁	m6577	交城
140000	山西省	141100	吕梁市	141123	兴县	山西	lvliang	吕梁	m6576	兴县
140000	山西省	141100	吕梁市	141124	临县	山西	lvliang	吕梁	m6575	临县
140000	山西省	141100	吕梁市	141125	柳林县	山西	lvliang	吕梁	m6574	柳林
